index,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
0,AUS,HEALTHEXP,TOT,PC_GDP,A,1971,4.547,
1,AUS,HEALTHEXP,TOT,PC_GDP,A,1972,4.547,
2,AUS,HEALTHEXP,TOT,PC_GDP,A,1973,4.511,
3,AUS,HEALTHEXP,TOT,PC_GDP,A,1974,5.112,
4,AUS,HEALTHEXP,TOT,PC_GDP,A,1975,5.76,
5,AUS,HEALTHEXP,TOT,PC_GDP,A,1976,5.777,
6,AUS,HEALTHEXP,TOT,PC_GDP,A,1977,6.076,
7,AUS,HEALTHEXP,TOT,PC_GDP,A,1978,5.938,
8,AUS,HEALTHEXP,TOT,PC_GDP,A,1979,5.828,
9,AUS,HEALTHEXP,TOT,PC_GDP,A,1980,5.83,
10,AUS,HEALTHEXP,TOT,PC_GDP,A,1981,5.839,
11,AUS,HEALTHEXP,TOT,PC_GDP,A,1982,6.106,
12,AUS,HEALTHEXP,TOT,PC_GDP,A,1983,6.052,
13,AUS,HEALTHEXP,TOT,PC_GDP,A,1984,6.024,
14,AUS,HEALTHEXP,TOT,PC_GDP,A,1985,6.075,
15,AUS,HEALTHEXP,TOT,PC_GDP,A,1986,6.274,
16,AUS,HEALTHEXP,TOT,PC_GDP,A,1987,6.112,
17,AUS,HEALTHEXP,TOT,PC_GDP,A,1988,6.067,
18,AUS,HEALTHEXP,TOT,PC_GDP,A,1989,6.12,
19,AUS,HEALTHEXP,TOT,PC_GDP,A,1990,6.48,
20,AUS,HEALTHEXP,TOT,PC_GDP,A,1991,6.776,
21,AUS,HEALTHEXP,TOT,PC_GDP,A,1992,6.841,
22,AUS,HEALTHEXP,TOT,PC_GDP,A,1993,6.857,
23,AUS,HEALTHEXP,TOT,PC_GDP,A,1994,6.889,
24,AUS,HEALTHEXP,TOT,PC_GDP,A,1995,6.935,
25,AUS,HEALTHEXP,TOT,PC_GDP,A,1996,7.074,
26,AUS,HEALTHEXP,TOT,PC_GDP,A,1997,7.088,
27,AUS,HEALTHEXP,TOT,PC_GDP,A,1998,7.244,D
28,AUS,HEALTHEXP,TOT,PC_GDP,A,1999,7.331,D
29,AUS,HEALTHEXP,TOT,PC_GDP,A,2000,7.614,D
30,AUS,HEALTHEXP,TOT,PC_GDP,A,2001,7.696,D
31,AUS,HEALTHEXP,TOT,PC_GDP,A,2002,7.893,D
32,AUS,HEALTHEXP,TOT,PC_GDP,A,2003,7.904,D
33,AUS,HEALTHEXP,TOT,PC_GDP,A,2004,8.109,D
34,AUS,HEALTHEXP,TOT,PC_GDP,A,2005,7.99,D
35,AUS,HEALTHEXP,TOT,PC_GDP,A,2006,7.989,D
36,AUS,HEALTHEXP,TOT,PC_GDP,A,2007,8.068,D
37,AUS,HEALTHEXP,TOT,PC_GDP,A,2008,8.256,D
38,AUS,HEALTHEXP,TOT,PC_GDP,A,2009,8.563,D
39,AUS,HEALTHEXP,TOT,PC_GDP,A,2010,8.431,D
40,AUS,HEALTHEXP,TOT,PC_GDP,A,2011,8.542,D
41,AUS,HEALTHEXP,TOT,PC_GDP,A,2012,8.676,D
42,AUS,HEALTHEXP,TOT,PC_GDP,A,2013,8.761,D
43,AUS,HEALTHEXP,TOT,PC_GDP,A,2014,9.036,D
44,AUS,HEALTHEXP,TOT,PC_GDP,A,2015,9.323,D
45,AUS,HEALTHEXP,TOT,PC_GDP,A,2016,9.201,D
46,AUS,HEALTHEXP,TOT,PC_GDP,A,2017,9.205,D
47,AUS,HEALTHEXP,TOT,PC_GDP,A,2018,9.285,E
48,AUS,HEALTHEXP,TOT,PC_GDP,A,2019,9.334,E
49,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1971,38.036,
50,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1972,41.058,
51,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1973,45.525,
52,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1974,63.485,
53,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1975,60.046,
54,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1976,63.861,
55,AUS,HEALTHEXP,OOPEXP,USD_CAP,A,1977,63.612,
